,4001 South 700 East,1060 Dalton Ave S,1330 Sandhill Rd,2530 S 500 E,1065 S 1000 E,2600 Taylorsville Blvd,357 W 200 S,381 W 200 S,2329 S 700 E,600 E 900 South,6351 South 900 East,5383 South 900 East,1488 4800 S,4300 S 1300 E,4580 S 2300 E,3148 S 1100 W,195 W 700 S,753 E 1000 S,3463 Manchester Dr,234 W 900 S,410 S State St,300 State St,3365 S 1300 E,177 W Price Ave,194 W 11400 S,2785 South 300 West,1795 West 4800 South
4001 South 700 East,0,7.2,4.6,3.4,2.2,8.6,8.4,7.9,1.4,2.5,4.5,3.9,5.7,2.8,4.7,6.8,7.8,2.7,6.4,8.8,6.8,6.4,2.9,7.6,10.6,3.1,8.6
1060 Dalton Ave S,7.2,0,3.3,4.6,5.3,5.6,2.9,3.1,5.6,5.1,10.1,9.4,3.7,8.2,10.5,1.7,3.5,5.8,1.4,3.1,4.9,4.4,7.2,2.3,12.7,4.5,1.4
1330 Sandhill Rd,4.6,3.3,0,1.9,2.8,4.5,5.1,4.6,3.6,3.1,7.6,6.9,2.1,5.6,7.9,1.3,4.9,3.8,2.6,4.6,3.1,2.7,4.6,3.9,10.1,2.5,3.7
2530 S 500 E,3.4,4.6,1.9,0,1.1,5.1,6.8,6.3,2.1,1.1,6.5,5.8,3.7,4.2,6.4,2.2,6.5,1.8,3.9,6.2,4.4,4,3.1,5.5,10.7,1.8,4.3
1065 S 1000 E,2.2,5.3,2.8,1.1,0,6.2,7.5,7.1,1.5,0.7,5.5,4.9,4.7,3.1,5.3,3.3,7.2,0.6,4.7,6.8,5.1,4.7,1.7,6.2,10.7,2.4,5.4
2600 Taylorsville Blvd,8.6,5.6,4.5,5.1,6.2,0,8.2,7.7,7,6.7,13.1,12.4,3.4,11.2,13.4,4.6,7.8,6.9,5.2,7.4,9.6,9.1,9.8,2.7,6.7,0.7
357 W 200 S,8.4,2.9,5.1,6.8,7.5,8.2,0,0.6,6.8,6.8,12.8,12.1,6.4,10.9,13.2,4.6,1.4,7.6,4.1,0.5,2.1,1.6,9,4.4,15.4,6.2,4.1
381 W 200 S,7.9,3.1,4.6,6.3,7.1,7.7,0.6,0,6.3,6.3,12.3,11.6,5.9,10.4,12.7,4.1,1.1,7.1,3.6,0.5,1.6,1.1,8.5,3.9,14.9,5.7,3.6
2329 S 700 E,1.4,5.6,3.6,2.1,1.5,7,6.8,6.3,0,1.4,5.9,5.2,5,3.5,5.8,4,7.6,1.9,5.2,7.2,5.6,5.2,1.5,6.9,11.2,2.1,6
600 E 900 South,2.5,5.1,3.1,1.1,0.7,6.7,6.8,6.3,1.4,0,5.7,5.1,5,3.4,5.6,3.4,7.4,0.3,4.9,7.1,5.4,5,2.1,6.5,10.9,2.7,5.6
